workload	opcode	origin	visit	types	memory	action	type_idx	new_type	count	share_percent
TOTAL	G_ICMP	initial	first	i1,i16	-	WidenScalar	1	i32	161	0.006219
TOTAL	G_LOAD	initial	first	i64,p0	s64@32@not_atomic@not_atomic	Legal	0	-	161	0.006219
TOTAL	G_STORE	initial	first	i64,p0	i64@8@not_atomic@not_atomic	Legal	0	-	156	0.006026
TOTAL	G_ZEXTLOAD	initial	first	i32,p0	i8@32@not_atomic@not_atomic	Legal	0	-	154	0.005948
TOTAL	G_ADD	initial	first	i16	-	WidenScalar	0	i32	153	0.005910
TOTAL	G_SHL	initial	first	i8,i8	-	WidenScalar	1	i32	148	0.005717
TOTAL	G_SHL	initial	revisit	i8,i32	-	WidenScalar	0	i32	148	0.005717
TOTAL	G_STORE	initial	first	i64,p0	s64@32@not_atomic@not_atomic	Legal	0	-	146	0.005639
TOTAL	G_LOAD	initial	first	i16,p0	i16@8@not_atomic@not_atomic	Legal	0	-	144	0.005562
TOTAL	G_SELECT	initial	first	p0,i1	-	WidenScalar	1	i32	143	0.005523
TOTAL	G_MUL	initial	revisit	i32	-	Legal	0	-	142	0.005485
TOTAL	G_OR	initial	first	i64	-	Legal	0	-	138	0.005330
TOTAL	G_LOAD	initial	first	i32,p0	i32@128@not_atomic@not_atomic	Legal	0	-	128	0.004944
TOTAL	G_XOR	initial	revisit	i32	-	Legal	0	-	126	0.004867
TOTAL	G_SEXTLOAD	initial	first	i32,p0	i16@64@not_atomic@not_atomic	Legal	0	-	112	0.004326
TOTAL	G_STORE	initial	revisit	i32,p0	i32@64@not_atomic@not_atomic	Legal	0	-	108	0.004172
TOTAL	G_LOAD	initial	first	i32,p0	i32@8@not_atomic@not_atomic	Legal	0	-	105	0.004056
TOTAL	G_ZEXTLOAD	initial	first	i32,p0	s8@32@not_atomic@not_atomic	Legal	0	-	102	0.003940
TOTAL	G_STORE	initial	revisit	i8,p0	i8@64@not_atomic@not_atomic	Legal	0	-	101	0.003901
TOTAL	G_STORE	initial	first	p0,p0	p0@128@not_atomic@not_atomic	Legal	0	-	100	0.003863
TOTAL	G_MEMSET	initial	first	p0,i8,i64	s8@64@not_atomic@not_atomic	Libcall	0	-	97	0.003747
TOTAL	G_FPTOSI	initial	first	i32,f32	-	Legal	0	-	94	0.003631
TOTAL	G_AND	generated	first	i64	-	Legal	0	-	91	0.003515
TOTAL	G_MEMCPY	initial	first	p0,p0,i64	s8@32@not_atomic@not_atomic,s8@32@not_atomic@not_atomic	Libcall	0	-	89	0.003438
TOTAL	G_ICMP	generated	first	i1,i64	-	WidenScalar	0	i32	86	0.003322
